"id","profileName","text","date","title","rating","images","helpful"
"R1VNP0DZTBRSY6","Anonym0us","
  The clear round stacking toy with plastic balls allows for water to get IN but not OUT. As soon as I received package I washed everything with hot water and soap and the clear one STILL after 3 days has water inside with no way out. Dangerous and a huge mold issue.
","Reviewed in the United States on April 20, 2020","Dangerous mold problem",1,"","6"
"R1CY21QIVQGS0Q","Ting Su","
  Although my 10-month-old hasn’t quite grasped the concept of stacking up the rings, and instead prefers to knock them down, I think this product still has many ways in which it can be played with. The variety of colors, sizes, and textures of each ring makes it stand out.My baby doesn’t quite use it as a teether, but he has found it fun in other ways. He particularly likes it when I spin the rings on the floor, which always causes a giggle fit. Any product that can make my baby giggle and laugh so hard will get a good review.Would make a good gift.
","Reviewed in the United States on October 6, 2021","Numerous ways to play",5,"",0
"RS3JLRSV36EJ6","MrsB","
  Cute and different. I didn’t realize they would be small, but they’re perfect for baby hands. He loves to pull them off and chew them
","Reviewed in the United States on May 17, 2021","Perfect size for baby hands",5,"https://images-na.ssl-images-amazon.com/images/I/814aiM47kaL.jpg","3"
"R3PKYUC7VA2EUE","MamaLuvsTwins","
  Of the 4 ring stackers the kids have, this is by far their most favorite! I bought it after I saw how much the kids liked it when they played with it at their physical therapy visits. It was the only toy they both went nuts for.The rings have a wide opening making it easy for little hands to grab. The colors, weights and textures keep them interested and the post is lightweight (for when they start banging it at everything. Ack!)I also really appreciate the post is the same thickness, top to bottom. Other stackers have a smaller top and fatter at the bottom post. These types of stackers frustrate kids that are still too young to understand larger goes on bottom then the smaller ones. With this Sassy stacker, it doesn’t matter! The kids can stack them in whatever order they choose and not becomes frustrated or lose interest.Although I don’t recommend this as a teether, it worked great as one. No pieces or shavings came off the rings. The paint/coloring does not flake or peel off even after repeated biting.Great ring stacker for infants!
","Reviewed in the United States on June 25, 2020","Kid Approved! All Time Favorite Ring Stacker",5,"",0
"R1X6T90XVAPGQ9","hayley g","
  I love this toy. For starters, yes it’s smaller, but i couldn’t care less because of all the pros to it. My son is 9 months old and within minutes understood how to take the rings off, the rings are all different colors (very bright) and thicknesses and even different textures, some rings can be used as teethers, one ring is even a rattle. While the rings are different thickness, they can be stacked in any order, or used alone as individual toys. This toy was definitely made with intent behind it, i can only speak for my son but most baby’s should love how colorful and interesting each individual ring is. It’s very stimulating with the sounds and colors and textures. So much fun, would definitely buy again.
","Reviewed in the United States on December 31, 2021","10/10",5,"",0
"R28V51RMVZ0JBO","Jay","
  Got this for my six month old and two months later, it’s still one of his favorite toys! He loves to chomp on the different textures and even finds the stand entertaining. This will grow with him as he learns to stack and better understand patterns and colors. I haven’t had any rings deteriorate as some other reviewers mentioned, but he’s only had two teeth for a couple of weeks. The rattle ring does get water in it when I wash it but I just let it dry on a towel overnight. It’s his favorite!
","Reviewed in the United States on June 13, 2021","Baby loves!",5,"",0
"R22UWRDJKOJ960","Kindle Customer","
  Love all the textures and colors.  Granddaughter loves to play with and chew on them.
","Reviewed in the United States on July 24, 2019","Perfect!",5,"","7"
"R1GT5NDCPNXZZX","R","
  Lots of rings. There are multiple colors and textures. One ring is a rattle. The rings can be chewed no matter the size. They are a lot of fun. At first the baby may just turn it upside down to get the rings off. Eventually, the baby will try to put them back on. All rings stack no matter the order.  I have seen the base used as a pretend microphone.  It's a lot of fun! One thing to watch for is these look like bracelets. So, when baby starts growing they can get stuck.
","Reviewed in the United States on October 6, 2021","Rings&rings&rings",4,"",0
"R281RRDC0OQS5U","stacieb","
  My great-nephew is at that “put EVERYTHING YOU CAN GET YOUR HANDS ON INTO YOUR MOUTH” stage. He grabbed this toy and all its “doughnuts” over the others on his mat. Not only did the VIBRANT COLORS & EXCITING PATTERNS catch his eye, but HE WAS ENTHRALLED BY THE DIFFERENT TEXTURES AND SOUNDS!It’s well made, and I expect it will be around for many years and many children to come.If you’re trying to decide between the old smooth, mellower colored doughnuts or this one…I’d pick this one again and again.
","Reviewed in the United States on January 14, 2022","A NEW TWIST ON AN OLD STANDBY TOY!",5,"",0
"R1HNAD9O8CWAUY","Jessica C","
  First of all, the item said it was delivered and it never was. I reached out to the company and they refunded me but never offered to send another one. I then reached out to Amazon because I still wanted this toy at the price I originally bought it at. Amazon was able to send me another one for that price.I expected this toy to be a little larger. The first two rings on top of the toy are very small and thin. Almost concerning as I'm wondering if a child (a little older) could squeeze the ring into their mouth. Overall, I'm disappointed as they aren't as large as I expected and the customer service from the company wasn't great as they never responded when I asked them to send a new one.
","Reviewed in the United States on November 19, 2021","I expected different.",3,"",0
"R263RCXM6WO9S0","K. Ericksen","
  My 6 month old loves the variety of colors.  I love the durability.  I only gave 4 stars because when I washed the set before letting my child play with it, the clear ring filled up with water.  Still trying to dry it out!
","Reviewed in the United States on October 6, 2019","Nice Set but Not Water-Tight",4,"","4"
"R327XOWRJQ0X6S","Steph","
  We play with these forever and everyday. We twist them, spin them, throw them, he chews on them, stack them and Unstack. For the price this is a must have toy. My son loves them and has played with them from 6 months to 12 months… he is a year old and I’m sure he will continue to play with them.
","Reviewed in the United States on May 11, 2021","Hours of fun & extremely durable!",5,"",1
"R1D4DMQLZ68WBN","Kelly","
  These types of toys have been around a LONG time, so when I spotted this one and noticed that the difference was that the rings didn't need to be placed in any specific order, I was sold.  It's been a wonderful toy for my grandson.  He's only 8 months right now, but he enjoys taking the rings off and teething on them.  Great buy!
","Reviewed in the United States on April 18, 2021","Like the original but better!",5,"",1
"R1EO1EB3HNGMA3","Lucy Crosby","
  I got one of these for my one-year-old granddaughter's birthday. She likes to chew on the rings. I also gave one to my two-year-old granddaughter. She loves putting the rings on and taking them off. It kept her busy for an hour, which is forever for a child that age. The older grandkids (3-8) like putting them on in order from largest to smallest or smallest to largest. Sometimes they even sort by patterns. I highly recommend this toy.
","Reviewed in the United States on June 12, 2021","Good for a wide range of ages.",5,"",0
"R212E3IUA9W435","Taylor Brown","
  We’ve had these for a few weeks now and little guy loves it. He is 7 months so he cannot stack these yet. He mostly uses the toy for teething. He loves chewing on the rings and there is one ring that has little balls inside and makes a rattle noise. That one is his favorite. I can see him using this toy as he grows older to stay them for manipulative use. Bright colors helps them learn colors and the rings are different sizes as well. Would definitely recommend!
","Reviewed in the United States on February 26, 2021","Great!",5,"",0
"RBJNC1RA9WQWN","Beth","
  My granddaughter got these as a baby.  They have been a constant toy in her rotation.  First, she just enjoyed the rings, then as floor time progressed, she loved dumping them off the ring and playing with the pieces.  Now she is learning to put the rings back on.  Great toy for months of play and I love all the colors and texture that this set has as well.  Much better than the old plain rainbow one.
","Reviewed in the United States on January 20, 2022","Absolute must for kids.",5,"",0
"R2H7WBFMK0MOK","Alyssa A.","
  The twins love this stacker and so do I, it’s been 5 years since I’ve had babies and I’m telling you everything is better it’s like these baby companies actually listen to parents lol this is a huge improvement from the one my older girls had, each ring is suitable for a teether they’re all different colors textures and ones even a rattle it’s just so nice and the twins loved exploring it, great toy!
","Reviewed in the United States on July 13, 2021","Awesome stacker, and teethers!",5,"",0
"R2B5BYGNHZ8WCW","Andi","
  Things I like: the different colors, textures, and patterns.Things I don’t like: the part where you stack the rings is really flimsy along with a couple of the donut/rings. My son chews on them and they look like they could crack/break. Not durable and this was not as high of a quality purchase as I was hoping for.However, he does seem to enjoy playing with it I just wish the quality was better.
","Reviewed in the United States on September 19, 2021","Mediocre Quality",3,"",1
"R1T7WP9FV9LXFP","Donnica","
  7mnth old enjoys these rings. Wash them (not submerge them) the minute I got them because I knew they would be going Into his mouth... water managed to seep its way into the clear ring with the balls. So take that little piece of knowledge and run with it as you see fit with knowing the possibilities of fluid like substances being able to seep into the rings. Overall, they entertain his curiosity but loves nawing on the orange ring stand more.
","Reviewed in the United States on April 5, 2021","Entertaining for baby",3,"","2"
"R3MVRVX2HSISM5","kelli RN","
  I bought this for my granddaughter for Christmas. She’s 4 months old and can manipulate this easily. The rings are easy to grasp and the product appears to be of good quality. She gnaws on the pieces for teething basically since she’s too young to use it as a stacker yet but that will come with time . I’m pleased with this product and recommend for little ones without hesitation.
","Reviewed in the United States on January 8, 2022","Granddaughter loves",5,"",0
"R7UZ9FLAQB94F","Elana","
  My one year old daughter gets distracted easily (as I think most of you can relate), so when she was playing with this for more than 10 minutes at a time, I considered it a major hit. Meticulously stacks each fun colored and textured ring and shakes the one that has beads in it which is clearly her favorite. The center stacking pole is pretty light so it does tip over sometimes when she puts the ring on, but she quickly learned to hold it while she puts the ring on which I think is actually great because she learned a new skill.
","Reviewed in the United States on August 6, 2020","Engaging, fun to have different textures, daughter's favorite new toy",5,"",1
"R6MWFS7JWY4F8","Mandy K","
  These stacking rings are so cute! I bought them for my daughter when she was 5 months old (she’s 11 months now) and she still loves them. Before they were just for teething but now she’s actually getting the hang of stacking them and it’s the most adorable thing. I love the high contrast colors and the different textures which is why I chose this one over the basic rainbow fisher price one. The only thing is that the pink ring on it has a little bit too small of a hole. When taking that piece off, it kind of gets stuck at the top (I think it’s because the base/stick is just one width from top to bottom and doesn’t get skinnier towards the top). This makes it nearly impossible for a baby to get this piece off. I ended up just throwing that piece out and replacing it with a teething ring we already had. No biggie but if that issue was fixed I definitely would have given this 5 stars!
","Reviewed in the United States on January 19, 2022","Great except one small flaw",4,"",0
"R1HC8H92FJ2KDI","Jessica Lentz-shannon","
  My 6 month year old nephew is teething like crazy. These are perfect for his little hands and mouth. He's fascinated by the patterns colors and using them for teething. They are super durable and so much nicer than the traditional multicolored plastic stackable rings that when you squeeze give right in. Perfect gift for 6-9 month Olds for hand eye coordination. Must buy gift
","Reviewed in the United States on January 18, 2022","Perfect for teething and hand eye coordination",5,"",0
"RZAOISQHB36SA","Kaitlin M.","
  These things suck so bad. They are made of the cheapest hardest plastic and my baby hates them. They are so hard they don’t seem safe with baby banging them around I was afraid she might hurt herself. Cracks for mold to get into if she drools on them.
","Reviewed in the United States on September 2, 2019","Terrible baby toy",1,"","5"
"RF599SGIV1KTU","jenny","
  I kept seeing reviews about babies loving it and thought maybe my 1.5 yro son wouldn’t be into it. But decided to get it anyway and WOW, it’s been about 3 months since we got it and he uses this toy daily for most of the day. It’s always my go to if we’re out and about on a stroll walk or in a restaurant. This plus his stacking blocks are his absolute favorite
","Reviewed in the United States on December 31, 2021","18 plus son loves it",5,"",0
"R3KSHFJBKU78B3","Lauren","
  Fun colors and textures captivate my babies attention. They are easy to wash, although the one with the beads in it I do take more care for fear of water leaking on the inside and getting gunky. I prefer wooden or more sustainable toys but I feel that these will hold up well enough that I will be able to use them for multiple children
","Reviewed in the United States on October 6, 2020","Fun colors and textures for baby",5,"","2"
"R2WAW2KHCXB84Q","Anne","
  I bought 2 of these- one for each of my two baby grandaughters- 6 and 9 months. One already had it, so that one is waiting for the next one yet to come. :)  The colors and variety of textures are great. They'll learn the stacking by size part later. Right now they like to dump the rings off and gnaw on them one by one.  Good toy!
","Reviewed in the United States on February 15, 2020","Great gift for baby",5,"","5"
